Year,Trial,ID,Block,NumPlants,Instar,Move,Abandon
2018,6,37,5,4,3,1,1
2018,6,37,5,4,4,1,1
2018,6,37,5,4,5,2,1
2018,6,42,5,4,1,0,0
2018,6,42,5,4,2,0,0
2018,6,42,5,4,3,0,0
2018,6,42,5,4,4,1,1
2018,6,42,5,4,5,3,2
2018,6,50,6,4,1,0,0
2018,6,50,6,4,2,0,0
2018,6,50,6,4,3,1,1
2018,6,50,6,4,4,1,1
2018,6,50,6,4,5,4,3
2018,6,51,6,4,1,0,0
2018,6,51,6,4,2,0,0
2018,6,51,6,4,3,0,0
2018,6,51,6,4,4,0,0
2018,6,51,6,4,5,2,2
2018,6,52,6,4,1,0,0
2018,6,52,6,4,2,1,1
2018,6,52,6,4,3,1,1
2018,6,52,6,4,4,2,1
2018,6,52,6,4,5,3,3
2018,6,70,8,4,1,0,0
2018,6,70,8,4,2,0,0
2018,6,70,8,4,3,0,0
2018,6,70,8,4,4,1,1
2018,6,70,8,4,5,5,4
2018,6,77,9,4,1,0,0
2018,6,77,9,4,2,0,0
2018,6,77,9,4,3,0,0
2018,6,77,9,4,4,3,3
2018,6,77,9,4,5,2,1
2018,7,2,1,4,1,0,0
2018,7,2,1,4,2,0,0
2018,7,2,1,4,3,0,0
2018,7,2,1,4,4,1,1
2018,7,2,1,4,5,4,4
2018,7,9,1,4,1,0,0
2018,7,9,1,4,2,1,1
2018,7,9,1,4,3,0,0
2018,7,9,1,4,4,1,1
2018,7,9,1,4,5,3,3
2018,7,16,3,4,1,0,0
2018,7,16,3,4,2,0,0
2018,7,16,3,4,3,0,0
2018,7,16,3,4,4,1,1
2018,7,16,3,4,5,2,2
2018,7,17,3,4,1,0,0
2018,7,17,3,4,2,0,0
2018,7,17,3,4,3,1,1
2018,7,17,3,4,4,1,1
2018,7,17,3,4,5,2,2
2018,7,18,3,4,1,0,0
2018,7,18,3,4,2,0,0
2018,7,18,3,4,3,0,0
2018,7,18,3,4,4,0,0
2018,7,18,3,4,5,2,2
2018,7,20,4,4,1,0,0
2018,7,20,4,4,2,0,0
2018,7,20,4,4,3,0,0
2018,7,20,4,4,4,0,0
2018,7,20,4,4,5,3,3
2018,7,30,6,4,1,0,0
2018,7,30,6,4,2,0,0
2018,7,30,6,4,3,1,1
2018,7,30,6,4,4,2,1
2018,7,30,6,4,5,4,3
2018,7,31,6,4,1,0,0
2018,7,31,6,4,2,0,0
2018,7,31,6,4,3,0,0
2018,7,31,6,4,4,0,0
2018,7,31,6,4,5,2,2
