Year,Trial,Block,Cage,NumPlants,Location,LocRelativeTime
2018,6,7,56,3,Top,1
2018,6,7,58,3,Top,0.842105263
2018,6,7,60,2,Top,1
2018,6,8,67,2,Top,0.7
2018,6,8,69,3,Top,0.555555556
2018,6,8,70,4,Top,0.48
2018,6,8,72,3,Top,0.722222222
2018,6,9,73,2,Top,0.666666667
2018,6,9,77,4,Top,0.681818182
2018,6,9,79,3,Top,0.888888889
2018,6,9,80,3,Top,0.75
2018,7,1,1,2,Top,0.333333333
2018,7,1,2,4,Top,0.68
2018,7,1,3,2,Top,0.846153846
2018,7,1,5,3,Top,0.714285714
2018,7,1,9,4,Top,0.523809524
2018,7,3,11,2,Top,0.636363636
2018,7,3,12,3,Top,0.578947368
2018,7,3,13,3,Top,0.714285714
2018,7,3,15,2,Top,0.235294118
2018,7,3,16,4,Top,0.923076923
2018,7,3,17,4,Top,0.863636364
2018,7,3,18,4,Top,0.692307692
2018,7,4,20,4,Top,0.869565217
2018,7,4,21,3,Top,0.5
2018,7,4,22,3,Top,0.714285714
2018,7,4,23,3,Top,1
2018,7,4,26,2,Top,0.75
2018,7,6,28,2,Top,0.8
2018,7,6,30,4,Top,0.782608696
2018,7,6,31,4,Top,0.625
2018,7,6,33,2,Top,0.615384615
2018,7,6,35,3,Top,0.625
2018,5,1,1,2,Middle,0.230769231
2018,5,1,2,4,Middle,0.285714286
2018,5,1,5,4,Middle,0.157894737
2018,5,1,6,2,Middle,0.380952381
2018,5,1,7,3,Middle,0.25
2018,5,1,8,3,Middle,0
2018,5,1,9,3,Middle,0
2018,5,2,10,3,Middle,0.142857143
2018,5,2,11,4,Middle,0.272727273
2018,5,2,15,2,Middle,0.181818182
2018,5,2,17,2,Middle,0.4
2018,5,2,18,3,Middle,0.384615385
2018,5,3,20,3,Middle,0
2018,5,3,21,3,Middle,0.47826087
2018,5,3,23,2,Middle,0.333333333
2018,5,3,24,2,Middle,0.294117647
2018,5,3,25,3,Middle,0.142857143
2018,5,3,26,2,Middle,0.277777778
2018,5,3,27,4,Middle,0.35
2018,6,1,2,4,Middle,0.173913043
2018,6,1,5,3,Middle,0
2018,6,1,7,2,Middle,0.333333333
2018,6,2,11,3,Middle,0.083333333
2018,6,2,12,4,Middle,0.15
2018,6,2,14,3,Middle,0.090909091
2018,6,3,19,2,Middle,0.6
2018,6,3,20,3,Middle,0
2018,6,3,22,3,Middle,0.111111111
2018,6,3,23,4,Middle,0.35
2018,6,3,25,4,Middle,0.409090909
2018,6,3,26,2,Middle,0
2018,6,4,28,2,Middle,0.166666667
2018,6,4,29,4,Middle,0.285714286
2018,6,4,30,4,Middle,0.090909091
2018,6,4,33,3,Middle,0.083333333
2018,6,4,34,2,Middle,0.352941176
2018,6,4,36,2,Middle,0.142857143
2018,6,5,37,4,Middle,0.318181818
2018,6,5,38,3,Middle,0
2018,6,5,39,2,Middle,0.466666667
2018,6,5,40,2,Middle,0.2
2018,6,5,41,2,Middle,0.0625
2018,6,5,42,4,Middle,0.380952381
2018,6,5,43,3,Middle,0.238095238
2018,6,5,45,3,Middle,0
2018,6,6,47,3,Middle,0.416666667
2018,6,6,50,4,Middle,0.111111111
2018,6,6,51,4,Middle,0.434782609
2018,6,6,52,4,Middle,0.136363636
2018,6,6,53,3,Middle,0.555555556
2018,6,6,54,3,Middle,0.444444444
2018,6,7,55,3,Middle,0
2018,6,7,56,3,Middle,0
2018,6,7,58,3,Middle,0.157894737
2018,6,7,60,2,Middle,0
2018,6,8,67,2,Middle,0.3
2018,6,8,69,3,Middle,0.444444444
2018,6,8,70,4,Middle,0.44
2018,6,8,72,3,Middle,0.277777778
2018,6,9,73,2,Middle,0.25
2018,6,9,77,4,Middle,0.272727273
2018,6,9,79,3,Middle,0.111111111
2018,6,9,80,3,Middle,0
2018,7,1,1,2,Middle,0.666666667
2018,7,1,2,4,Middle,0.28
2018,7,1,3,2,Middle,0.153846154
2018,7,1,5,3,Middle,0.285714286
2018,7,1,9,4,Middle,0.333333333
2018,7,3,11,2,Middle,0.363636364
2018,7,3,12,3,Middle,0.210526316
2018,7,3,13,3,Middle,0.285714286
2018,7,3,15,2,Middle,0.647058824
2018,7,3,16,4,Middle,0.076923077
2018,7,3,17,4,Middle,0.136363636
2018,7,3,18,4,Middle,0.153846154
2018,7,4,20,4,Middle,0.130434783
2018,7,4,21,3,Middle,0.333333333
2018,7,4,22,3,Middle,0.142857143
2018,7,4,23,3,Middle,0
2018,7,4,26,2,Middle,0.083333333
2018,7,6,28,2,Middle,0.2
2018,7,6,30,4,Middle,0.217391304
2018,7,6,31,4,Middle,0.375
2018,7,6,33,2,Middle,0.230769231
2018,7,6,35,3,Middle,0.3125
2018,5,1,1,2,Bottom,0.307692308
2018,5,1,2,4,Bottom,0.095238095
2018,5,1,5,4,Bottom,0.052631579
2018,5,1,6,2,Bottom,0.19047619
2018,5,1,7,3,Bottom,0.25
2018,5,1,8,3,Bottom,0.090909091
2018,5,1,9,3,Bottom,0
2018,5,2,10,3,Bottom,0
2018,5,2,11,4,Bottom,0.181818182
2018,5,2,15,2,Bottom,0
2018,5,2,17,2,Bottom,0.05
2018,5,2,18,3,Bottom,0
2018,5,3,20,3,Bottom,0
2018,5,3,21,3,Bottom,0.130434783
2018,5,3,23,2,Bottom,0
2018,5,3,24,2,Bottom,0.058823529
2018,5,3,25,3,Bottom,0
2018,5,3,26,2,Bottom,0
2018,5,3,27,4,Bottom,0
2018,6,1,2,4,Bottom,0.086956522
2018,6,1,5,3,Bottom,0.076923077
2018,6,1,7,2,Bottom,0.083333333
2018,6,2,11,3,Bottom,0
2018,6,2,12,4,Bottom,0.15
2018,6,2,14,3,Bottom,0
2018,6,3,19,2,Bottom,0
2018,6,3,20,3,Bottom,0
2018,6,3,22,3,Bottom,0
2018,6,3,23,4,Bottom,0
2018,6,3,25,4,Bottom,0.045454545
2018,6,3,26,2,Bottom,0
2018,6,4,28,2,Bottom,0
2018,6,4,29,4,Bottom,0.047619048
2018,6,4,30,4,Bottom,0
2018,6,4,33,3,Bottom,0
2018,6,4,34,2,Bottom,0.058823529
2018,6,4,36,2,Bottom,0
2018,6,5,37,4,Bottom,0.136363636
2018,6,5,38,3,Bottom,0
2018,6,5,39,2,Bottom,0
2018,6,5,40,2,Bottom,0.133333333
2018,6,5,41,2,Bottom,0.3125
2018,6,5,42,4,Bottom,0.047619048
2018,6,5,43,3,Bottom,0
2018,6,5,45,3,Bottom,0
2018,6,6,47,3,Bottom,0
2018,6,6,50,4,Bottom,0.111111111
2018,6,6,51,4,Bottom,0.043478261
2018,6,6,52,4,Bottom,0.227272727
2018,6,6,53,3,Bottom,0
2018,6,6,54,3,Bottom,0
2018,6,7,55,3,Bottom,0
2018,6,7,56,3,Bottom,0
2018,6,7,58,3,Bottom,0
2018,6,7,60,2,Bottom,0
2018,6,8,67,2,Bottom,0
2018,6,8,69,3,Bottom,0
2018,6,8,70,4,Bottom,0.08
2018,6,8,72,3,Bottom,0
2018,6,9,73,2,Bottom,0.083333333
2018,6,9,77,4,Bottom,0.045454545
2018,6,9,79,3,Bottom,0
2018,6,9,80,3,Bottom,0.25
2018,7,1,1,2,Bottom,0
2018,7,1,2,4,Bottom,0.04
2018,7,1,3,2,Bottom,0
2018,7,1,5,3,Bottom,0
2018,7,1,9,4,Bottom,0.142857143
2018,7,3,11,2,Bottom,0
2018,7,3,12,3,Bottom,0.210526316
2018,7,3,13,3,Bottom,0
2018,7,3,15,2,Bottom,0.117647059
2018,7,3,16,4,Bottom,0
2018,7,3,17,4,Bottom,0
2018,7,3,18,4,Bottom,0.153846154
2018,7,4,20,4,Bottom,0
2018,7,4,21,3,Bottom,0.166666667
2018,7,4,22,3,Bottom,0.142857143
2018,7,4,23,3,Bottom,0
2018,7,4,26,2,Bottom,0.166666667
2018,7,6,28,2,Bottom,0
2018,7,6,30,4,Bottom,0
2018,7,6,31,4,Bottom,0
2018,7,6,33,2,Bottom,0.153846154
2018,7,6,35,3,Bottom,0.0625
